fundingRate,APR,perp,day
-0.004796387258640273,-1.7506813494036997,BTC,2023-03-12 09:00:00.000 UTC
-0.004768838311262196,-1.7406259836107014,BTC,2023-03-12 10:00:00.000 UTC
-0.004763214598826825,-1.738573328571791,BTC,2023-03-11 13:00:00.000 UTC
-0.004744363644759925,-1.7316927303373726,BTC,2023-03-04 03:00:00.000 UTC
-0.004713623900774515,-1.720472723782698,BTC,2023-03-12 11:00:00.000 UTC
-0.004685781170921419,-1.7103101273863182,BTC,2023-03-12 12:00:00.000 UTC
-0.004640063849836335,-1.6936233051902623,BTC,2023-03-12 13:00:00.000 UTC
-0.004639011255802669,-1.6932391083679743,BTC,2023-03-11 12:00:00.000 UTC
-0.004621748918558594,-1.6869383552738868,BTC,2023-03-02 01:00:00.000 UTC
-0.00459511033694636,-1.6772152729854215,BTC,2023-03-12 14:00:00.000 UTC
-0.004563306623437037,-1.6656069175545185,BTC,2023-03-12 15:00:00.000 UTC
-0.004516818678475354,-1.648638817643504,BTC,2023-03-12 16:00:00.000 UTC
-0.004491660063550494,-1.6394559231959303,BTC,2023-03-12 17:00:00.000 UTC
-0.004472732539947003,-1.632547377080656,BTC,2023-03-11 11:00:00.000 UTC
-0.004460878592950877,-1.6282206864270703,BTC,2023-03-12 18:00:00.000 UTC
-0.004419197855248822,-1.61300721716582,BTC,2023-03-12 19:00:00.000 UTC
-0.00432544058320185,-1.5787858128686754,BTC,2023-03-04 04:00:00.000 UTC
-0.004291619439000638,-1.5664410952352328,BTC,2023-03-11 10:00:00.000 UTC
-0.004261452624715999,-1.5554302080213398,BTC,2023-03-02 00:00:00.000 UTC
-0.004208365293098467,-1.5360533319809404,BTC,2023-03-12 20:00:00.000 UTC
-0.004161651142106267,-1.5190026668687873,BTC,2023-03-11 09:00:00.000 UTC
-0.004156520678711448,-1.5171300477296783,BTC,2023-03-05 20:00:00.000 UTC
-0.004155236272418726,-1.516661239432835,BTC,2023-03-05 21:00:00.000 UTC
-0.004134753199956941,-1.5091849179842836,BTC,2023-03-05 19:00:00.000 UTC
-0.004116959075952466,-1.5026900627226498,BTC,2023-03-05 22:00:00.000 UTC
-0.004095022292194745,-1.494683136651082,BTC,2023-03-04 05:00:00.000 UTC
-0.004079703491557798,-1.489091774418596,BTC,2023-03-05 18:00:00.000 UTC
-0.004075799484424132,-1.487666811814808,BTC,2023-03-05 23:00:00.000 UTC
-0.004051860371750974,-1.4789290356891054,BTC,2023-03-11 08:00:00.000 UTC
-0.004003369851641791,-1.4612299958492536,BTC,2023-03-01 23:00:00.000 UTC
-0.00400166626817454,-1.4606081878837072,BTC,2023-03-06 00:00:00.000 UTC
-0.003996928455381199,-1.4588788862141377,BTC,2023-03-05 17:00:00.000 UTC
-0.003944481943151026,-1.4397359092501243,BTC,2023-03-06 01:00:00.000 UTC
-0.0039045974731726986,-1.425178077708035,BTC,2023-03-05 16:00:00.000 UTC
-0.0038853450927595983,-1.4181509588572534,BTC,2023-03-06 02:00:00.000 UTC
-0.003881165764429024,-1.4166255040165938,BTC,2023-03-11 07:00:00.000 UTC
-0.0038092381696417494,-1.3903719319192385,BTC,2023-03-06 03:00:00.000 UTC
-0.0037849683368802647,-1.3815134429612965,BTC,2023-03-05 15:00:00.000 UTC
-0.0037715109693614176,-1.3766015038169175,BTC,2023-03-04 06:00:00.000 UTC
